<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.08.16,12:43:00,148.646,148.662,148.633,148.638,44,0,5
2024.08.16,12:44:00,148.639,148.639,148.609,148.625,48,0,5
2024.08.16,12:45:00,148.622,148.648,148.621,148.631,46,0,5
2024.08.16,12:46:00,148.63,148.652,148.623,148.643,40,0,5
2024.08.16,12:47:00,148.643,148.643,148.625,148.634,37,0,5
2024.08.16,12:48:00,148.632,148.642,148.625,148.638,37,0,5
2024.08.16,12:49:00,148.639,148.64,148.627,148.631,37,0,5
2024.08.16,12:50:00,148.631,148.636,148.61,148.636,32,0,5
2024.08.16,12:51:00,148.636,148.654,148.636,148.642,59,0,5
2024.08.16,12:52:00,148.642,148.652,148.63,148.652,31,0,5
2024.08.16,12:53:00,148.651,148.654,148.624,148.639,51,0,5
2024.08.16,12:54:00,148.639,148.654,148.633,148.654,38,0,5
2024.08.16,12:55:00,148.656,148.657,148.631,148.632,40,0,5
2024.08.16,12:56:00,148.633,148.658,148.63,148.656,48,0,5
2024.08.16,12:57:00,148.654,148.66,148.645,148.66,52,0,5
2024.08.16,12:58:00,148.661,148.678,148.659,148.677,45,0,5
2024.08.16,12:59:00,148.677,148.68,148.667,148.676,46,0,5
2024.08.16,13:00:00,148.677,148.679,148.656,148.657,59,0,5
2024.08.16,13:01:00,148.657,148.666,148.655,148.658,35,0,5
2024.08.16,13:02:00,148.659,148.66,148.597,148.597,64,0,5
2024.08.16,13:03:00,148.596,148.596,148.546,148.561,58,0,3
2024.08.16,13:04:00,148.561,148.576,148.558,148.565,48,0,5
2024.08.16,13:05:00,148.565,148.585,148.561,148.581,44,0,5
2024.08.16,13:06:00,148.581,148.596,148.569,148.57,47,0,5
2024.08.16,13:07:00,148.569,148.57,148.549,148.565,50,0,5
2024.08.16,13:08:00,148.565,148.57,148.562,148.566,48,0,5
2024.08.16,13:09:00,148.566,148.577,148.562,148.57,38,0,5
2024.08.16,13:10:00,148.574,148.577,148.558,148.574,38,0,5
2024.08.16,13:11:00,148.575,148.589,148.55,148.55,32,0,5
2024.08.16,13:12:00,148.552,148.565,148.534,148.56,63,0,5
2024.08.16,13:13:00,148.561,148.565,148.542,148.549,53,0,5
2024.08.16,13:14:00,148.55,148.556,148.527,148.538,56,0,5
2024.08.16,13:15:00,148.542,148.543,148.527,148.533,44,0,5
2024.08.16,13:16:00,148.531,148.536,148.523,148.535,49,0,5
2024.08.16,13:17:00,148.539,148.552,148.527,148.532,39,0,5
2024.08.16,13:18:00,148.532,148.559,148.529,148.556,32,0,5
2024.08.16,13:19:00,148.556,148.569,148.544,148.545,54,0,5
2024.08.16,13:20:00,148.541,148.553,148.539,148.552,41,0,5
2024.08.16,13:21:00,148.552,148.566,148.548,148.548,39,0,5
2024.08.16,13:22:00,148.549,148.564,148.545,148.559,42,0,5
2024.08.16,13:23:00,148.563,148.578,148.563,148.574,46,0,5
2024.08.16,13:24:00,148.573,148.576,148.567,148.569,45,0,5
2024.08.16,13:25:00,148.569,148.569,148.504,148.509,51,0,4
2024.08.16,13:26:00,148.507,148.512,148.504,148.507,37,0,4
2024.08.16,13:27:00,148.507,148.523,148.507,148.52,27,0,5
2024.08.16,13:28:00,148.518,148.52,148.455,148.457,54,0,5
2024.08.16,13:29:00,148.455,148.5,148.446,148.48,57,0,5
2024.08.16,13:30:00,148.479,148.503,148.476,148.486,58,0,5
2024.08.16,13:31:00,148.486,148.489,148.472,148.476,53,0,5
2024.08.16,13:32:00,148.476,148.49,148.455,148.474,53,0,5
2024.08.16,13:33:00,148.473,148.486,148.456,148.485,40,0,5
2024.08.16,13:34:00,148.486,148.507,148.485,148.507,38,0,5
2024.08.16,13:35:00,148.507,148.509,148.487,148.503,40,0,5
2024.08.16,13:36:00,148.504,148.507,148.469,148.506,47,0,5
2024.08.16,13:37:00,148.507,148.518,148.503,148.506,42,0,5
2024.08.16,13:38:00,148.506,148.512,148.486,148.501,46,0,5
2024.08.16,13:39:00,148.501,148.514,148.49,148.513,38,0,5
2024.08.16,13:40:00,148.514,148.514,148.504,148.506,39,0,5
2024.08.16,13:41:00,148.506,148.528,148.503,148.525,42,0,5
2024.08.16,13:42:00,148.525,148.525,148.499,148.501,34,0,5
2024.08.16,13:43:00,148.501,148.524,148.497,148.501,37,0,5
2024.08.16,13:44:00,148.499,148.499,148.462,148.475,53,0,5
2024.08.16,13:45:00,148.475,148.48,148.449,148.462,59,0,5
2024.08.16,13:46:00,148.462,148.467,148.406,148.412,70,0,3
2024.08.16,13:47:00,148.411,148.454,148.411,148.441,63,0,5
2024.08.16,13:48:00,148.449,148.454,148.439,148.442,61,0,4
2024.08.16,13:49:00,148.443,148.454,148.44,148.441,47,0,6
2024.08.16,13:50:00,148.442,148.45,148.411,148.415,50,0,6
2024.08.16,13:51:00,148.414,148.415,148.368,148.376,57,0,6
2024.08.16,13:52:00,148.375,148.39,148.345,148.347,58,0,5
2024.08.16,13:53:00,148.348,148.356,148.341,148.341,43,0,6
2024.08.16,13:54:00,148.341,148.377,148.327,148.367,63,0,5
2024.08.16,13:55:00,148.367,148.376,148.365,148.373,43,0,5
2024.08.16,13:56:00,148.374,148.377,148.361,148.377,43,0,5
2024.08.16,13:57:00,148.377,148.389,148.363,148.366,37,0,5
2024.08.16,13:58:00,148.37,148.398,148.366,148.394,52,0,5
2024.08.16,13:59:00,148.398,148.398,148.347,148.353,45,0,5
2024.08.16,14:00:00,148.353,148.354,148.321,148.322,70,0,5
2024.08.16,14:01:00,148.321,148.33,148.265,148.317,67,0,5
2024.08.16,14:02:00,148.315,148.329,148.287,148.303,67,0,5
2024.08.16,14:03:00,148.303,148.319,148.302,148.306,63,0,5
2024.08.16,14:04:00,148.306,148.308,148.271,148.271,61,0,5
2024.08.16,14:05:00,148.269,148.297,148.265,148.278,70,0,5
2024.08.16,14:06:00,148.278,148.278,148.209,148.216,67,0,5
2024.08.16,14:07:00,148.216,148.221,148.187,148.198,71,0,5
2024.08.16,14:08:00,148.197,148.235,148.186,148.202,78,0,5
2024.08.16,14:09:00,148.203,148.203,148.139,148.145,75,0,5
2024.08.16,14:10:00,148.145,148.18,148.143,148.18,77,0,5
2024.08.16,14:11:00,148.179,148.183,148.165,148.17,62,0,5
2024.08.16,14:12:00,148.172,148.231,148.171,148.2,72,0,5
2024.08.16,14:13:00,148.201,148.207,148.192,148.197,64,0,5
2024.08.16,14:14:00,148.194,148.198,148.15,148.153,68,0,5
2024.08.16,14:15:00,148.155,148.195,148.151,148.184,74,0,5
2024.08.16,14:16:00,148.188,148.199,148.15,148.162,60,0,5
2024.08.16,14:17:00,148.168,148.212,148.157,148.211,70,0,5
2024.08.16,14:18:00,148.21,148.21,148.173,148.173,59,0,5
2024.08.16,14:19:00,148.173,148.206,148.168,148.206,50,0,5
2024.08.16,14:20:00,148.206,148.21,148.182,148.19,42,0,5
2024.08.16,14:21:00,148.19,148.212,148.18,148.212,61,0,5
2024.08.16,14:22:00,148.212,148.212,148.141,148.146,69,0,5
2024.08.16,14:23:00,148.146,148.146,148.091,148.119,77,0,5
2024.08.16,14:24:00,148.115,148.149,148.106,148.144,49,0,3
2024.08.16,14:25:00,148.144,148.151,148.119,148.124,57,0,3
2024.08.16,14:26:00,148.125,148.14,148.12,148.128,61,0,4
2024.08.16,14:27:00,148.129,148.153,148.106,148.106,59,0,2
2024.08.16,14:28:00,148.1,148.126,148.093,148.111,62,0,6
2024.08.16,14:29:00,148.111,148.156,148.097,148.156,55,0,6
2024.08.16,14:30:00,148.159,148.167,148.137,148.147,54,0,5
2024.08.16,14:31:00,148.149,148.15,148.093,148.093,54,0,6
2024.08.16,14:32:00,148.092,148.129,148.092,148.109,51,0,6
2024.08.16,14:33:00,148.112,148.115,148.087,148.087,57,0,5
2024.08.16,14:34:00,148.082,148.082,148.01,148.041,83,0,5
2024.08.16,14:35:00,148.04,148.071,148.032,148.062,60,0,5
2024.08.16,14:36:00,148.062,148.075,148.029,148.029,72,0,5
2024.08.16,14:37:00,148.03,148.077,148.029,148.069,51,0,5
2024.08.16,14:38:00,148.069,148.084,148.061,148.064,44,0,5
2024.08.16,14:39:00,148.063,148.063,148.009,148.011,62,0,5
2024.08.16,14:40:00,148.011,148.04,147.974,148.032,74,0,5
2024.08.16,14:41:00,148.032,148.065,148.026,148.029,47,0,5
2024.08.16,14:42:00,148.029,148.054,148.002,148.051,60,0,5
2024.08.16,14:43:00,148.051,148.071,148.046,148.066,39,0,5
2024.08.16,14:44:00,148.066,148.07,148.036,148.039,38,0,5
2024.08.16,14:45:00,148.039,148.074,148.039,148.072,55,0,5
2024.08.16,14:46:00,148.071,148.106,148.065,148.097,51,0,5
2024.08.16,14:47:00,148.097,148.13,148.096,148.119,41,0,3
2024.08.16,14:48:00,148.121,148.122,148.087,148.094,39,0,5
2024.08.16,14:49:00,148.095,148.103,148.076,148.091,56,0,5
2024.08.16,14:50:00,148.091,148.093,148.026,148.026,53,0,5
2024.08.16,14:51:00,148.023,148.024,147.959,148.019,78,0,5
2024.08.16,14:52:00,148.02,148.058,148.005,148.032,65,0,5
2024.08.16,14:53:00,148.031,148.052,148.024,148.044,64,0,5
2024.08.16,14:54:00,148.04,148.054,148.02,148.024,61,0,5
2024.08.16,14:55:00,148.021,148.069,148.014,148.064,63,0,5
2024.08.16,14:56:00,148.063,148.068,148.039,148.055,65,0,5
2024.08.16,14:57:00,148.048,148.079,148.041,148.059,53,0,5
2024.08.16,14:58:00,148.06,148.066,148.024,148.025,54,0,5
2024.08.16,14:59:00,148.022,148.042,148.011,148.042,42,0,5
2024.08.16,15:00:00,148.048,148.048,147.962,147.981,74,0,5
